Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Precio por defecto,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Pico De Gallo],Precio [Pico De Gallo],En inventario [Pico De Gallo],Existencias bajas [Pico De Gallo],"modificador - ""Arroz/Rice""","modificador - ""Frijoles/Beans""","modificador - ""Vegetales+/Vegetables+""","modificador - ""Extras""","modificador - ""Salsas""","modificador - ""Add-On's""","modificador - ""Proteina Extra/Proteins""","modificador - ""Modificadores de Birria/Modifiers""","modificador - ""Make Your Quesadilla Better""","modificador - ""Party Packs' Options""","modificador - ""Fajitas by the Pounds""","modificador - ""Termino de la Carne""","modificador - ""Chips n Guac""","modificador - ""Chips n Queso""","modificador - ""Guac""","modificador - ""Queso""","modificador - ""Extra Salsa""","modificador - ""Taco's Extras""","impuesto - ""Desechables"" (3%)","impuesto - ""IVA"" (13%)"
char-grilled-pastor-3,10039,Char-Grilled Pastor Quesadilla,Quesadillas,<p>Tortilla de harina rellena con Queso Monterrey Jack derretido y Pastor a la parrilla. Servido con guacamole y crema &aacute;cida.</p>,N,,,,,,,8.29,0.00,,,,N,Y,8.29,,,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,N
char-grilled-pastor-2,10034,Char-Grilled Pastor Taco,Tacos,<p>Taco individual. Construye tu propio Taco. Elige entre todos nuestros ingredientes y crea tu propio taco.</p>,N,,,,,,,3.49,0.00,,,,N,Y,3.49,,,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
cheese-quesadilla,10043,Cheese Quesadilla,Quesadillas,<p>Tortilla de harina rellena con Queso Monterrey Jack derretido. Servido con guacamole y crema &aacute;cida.</p>,N,,,,,,,7.99,0.00,,,,N,Y,7.99,,,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,N
chicken-burrito-bowl,10066,Chicken Burrito Bowl,JUEVES,<p>Jueves de Grilled Chicken Bowl! Construye tu propio burrito con tu selecci&oacute;n de ingredientes. Algunos ingredientes tienen costo extra. &nbsp;</p>,N,,,,,,,5.00,0.00,,,,N,N,5.00,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
chicken-tortilla-soup,10053,Chicken Tortilla Soup,More,"<p><font dir=""auto"" style=""vertical-align: inherit;""><font dir=""auto"" style=""vertical-align: inherit;"">Sopa de tortilla hecha a diario. Servida con frijoles negros, ma&iacute;z asado, tomate, cebolla, cilantro, queso Monterey Jack, crema agria y guacamole.</font></font></p>",N,,,,,,,5.99,0.00,,,,N,Y,5.99,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
chipotle-bbq-taco,10030,Chipotle BBQ Taco,Tacos,"<p>Brisket ahumado, corn-Pico De Gallo, sobre tortilla de harina. Servido con salsa chipotle BBQ.</p>",N,,,,,,,4.49,0.00,,,,N,Y,4.49,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
chips,10051,Chips,Sides,<p>Hechos de tortilla de ma&iacute;z todos los dias.</p>,N,,,,,,,0.99,0.00,,,,N,Y,0.99,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
chips-n-guac,10047,Chips n guac,Sides,<p>Hecho fresco todos los d&iacute;as</p>,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N
chips-n-queso,10046,Chips n Queso,Sides,<p>Hecho fresco todos los d&iacute;as.&nbsp;</p>,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N
coca-cola-1,10054,Coca Cola,Drinks,,N,,,,,,,1.99,0.00,,,,N,Y,1.99,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
